POLIZA_SUMINISTRO,NUMEROSERIECONTADOR,CONSUMO_REAL,FECHA_HORA,CODI_ANOMALIA,DATA_INICI,DATA_FI
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,,2024-06-17 00:00:00,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,21.0,2024-06-17 00:56:13,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,7.0,2024-06-17 01:56:13,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 02:56:13,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 03:56:13,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 04:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,6.0,2024-06-17 05:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,69.0,2024-06-17 06:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 07:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,6.0,2024-06-17 08:56:10,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,1.0,2024-06-17 09:56:10,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,9.0,2024-06-17 10:56:10,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,13.0,2024-06-17 11:56:10,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,3.0,2024-06-17 12:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,6.0,2024-06-17 13:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,16.0,2024-06-17 14:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,18.0,2024-06-17 15:56:11,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 16:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,10.0,2024-06-17 17:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,13.0,2024-06-17 18:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 19:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-17 20:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,53.0,2024-06-17 21:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,18.0,2024-06-17 22:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,6.0,2024-06-17 23:56:09,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,2.0,2024-06-18 00:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,9.0,2024-06-18 01:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,1.0,2024-06-18 02:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 03:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 04:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 05:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,9.0,2024-06-18 06:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,1.0,2024-06-18 07:56:08,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,12.0,2024-06-18 08:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,8.0,2024-06-18 09:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,10.0,2024-06-18 10:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,14.0,2024-06-18 11:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,12.0,2024-06-18 12:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,1.0,2024-06-18 13:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,23.0,2024-06-18 14:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,21.0,2024-06-18 15:56:07,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,12.0,2024-06-18 16:56:05,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,12.0,2024-06-18 17:56:05,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 18:56:05,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,13.0,2024-06-18 19:56:05,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,15.0,2024-06-18 20:56:06,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 21:56:06,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,12.0,2024-06-18 22:56:06,163840,2024-07-15,2024-09-13
JSM5YS4KVQUI5DQA,RMQO6U3MP5TS4QUL,0.0,2024-06-18 23:56:06,163840,2024-07-15,2024-09-13
